"Código","Clave","Descripción","DUN-14 Inner","DUN-14 Master"
"49632","AEA-71","Portavaso cepillero metálico con vaso de vidrio, Foset Aero",17506240617645,27506240617642
"49633","AEA-71VA","Vaso de vidrio de repuesto para portavaso, Foset Aero",17506240617652,27506240617659
"49634","AEA-72","Portarrollo con barra de acero inoxidable, Foset Aero",17506240617669,27506240617666
"49635","AEA-73","Gancho sencillo metálico para toalla, Foset Aero",17506240617676,27506240617673
"49636","AEA-74","Jabonera metálica con plato de vidrio, Foset Aero",17506240617683,27506240617680
"49637","AEA-74PL","Plato de vidrio de repuesto para jabonera, Foset Aero",17506240617690,27506240617697
"49638","AEA-76","Toallero con barra de acero inoxidable, Foset Aero",17506240617706,27506240617703
"49639","AEA-77","Toallero metálico de argolla, Foset Aero",17506240617713,27506240617710
"49773","AEF-81","Mezcladora 8' cuello alto para fregadero, Foset Aero",17506240629136,27506240629133
"49771","AEF-82","Monomando nariz retráctil para fregadero, Foset Aero",17506240629112,27506240629119
"49772","AEF-83","Monomando para fregadero, Foset Aero",17506240629129,27506240629126
"49763","AEM-41","Mezcladora 4' nariz larga para lavabo, Foset Aero",17506240629075,27506240629072
"49764","AEM-42","Mezcladora 4' cuello alto para lavabo, Foset Aero",17506240629082,27506240629089
"49766","AEM-43","Mezcladora 4' cuello tipo bar para lavabo, Foset Aero",17506240629105,27506240629102
"49765","AEM-44","Monomando 4' para lavabo, Foset Aero",17506240629099,27506240629096
"45203","AEM-45","Monomando corto para lavabo, Foset Aero",17506240644801,27506240644808
"49767","AEM-71","Monomando para regadera, Foset",17506240629143,27506240629140
"49762","AEM-91","Mezcladora para lavabo con taladros separados, Foset Aero",17506240629068,27506240629065
"45237","AEMM-01","Juego de 2 manerales para lavabo, taladros separados, Aero",17506240634192,27506240634199
"45238","AEMM-02","Juego de 2 manerales para lavabo y fregadero, Foset Aero",17506240634208,27506240634205
"45239","AEMM-03","Maneral monomando para lavabo, Foset Aero",17506240634222,27506240634229
"45240","AEMM-04","Maneral monomando para fregadero, manguera extraible, Aero",17506240634239,27506240634236
"45241","AEMM-05","Maneral monomando para fregadero, Foset Aero",17506240634246,27506240634243
"45242","AEMM-06","Maneral monomando para regadera, Foset Aero",17506240634260,27506240634267
"45114","AEMM-07","Maneral monomando para lavabo AEM-45, Foset Aero",17506240644825,27506240644822
"49778","AEMR-61","Juego 2 manerales para regadera, Foset Aero",17506240629167,27506240629164
"49777","AER-51","Salida de tina con desviador, Foset",17506240629150,27506240629157
"11859","AERO-30","Pistola aerográfica de gravedad vaso multiposición, Truper",17506240674389,27506240674386
"16020","AERO-35","Pistola aerográfica de gravedad con vaso fijo, Truper",17501206655723,27501206655720
"11861","AERO-8","Pistola aerográfica de succión , Truper",17506240674396,27506240674393
"101684","AFB-118","Afilador eléctrico para brocas con punta 118°, Truper",17506240688416,27506240688413
"24140","AFI-CU","Afilador de cuchillos, Pretul",17506240635960,27506240635967
"14016","AFI-CUM","Afilador de cuchillos, de bolsillo, Truper",17506240653513,27506240653510
"15147","AFI-CUX","Afilador de cuchillos, Truper",17506240647437,27506240647434
"100435","AFI-TIJ","Afilador para herramientas de corte, Truper",17506240678868,27506240678865
"49368","AFWC-45B","Asiento alargado sin tapa para taza fluxómetro, blanco,Foset",17506240680977,27506240680974
"100906","AI-5254","Adaptador de impacto 1/2' (H) x 3/8' (M), Truper",17506240694448,27506240694445
"100949","AI-5453","Adaptador de Impacto 3/4' (H) x 1/2' (M), Truper",17506240694509,27506240694506
"100950","AI-5455","Adaptador de Impacto 3/4' (H) x 1' (M), Truper",17506240694516,27506240694513
"100907","AI-5653","Adaptador de impacto 1/2' (H) x 3/4' (M), Truper",17506240694455,27506240694452
"10210","AJ-6","Arco junior 6' para segueta, Truper",17501206648596,27501206648593
"10254","AJT-21","Arco jardinero tubular de 21', Truper",17501206654085,27501206654082
"10258","AJT-24","Arco jardinero tubular de 24', Truper",17501206654092,27501206654099
"10260","AJT-30","Arco jardinero tubular de 30', Truper",17501206671181,27501206671188
"10600","AL-0","Azadón Lane No.0 de 1.6 lb sin mango, Truper",17501206613280,27501206613287
"10612","AL-0M","Azadón Lane No.0 de 1.6 lb con mango de 54', Truper",17501206613297,27501206613294
"10603","AL-1","Azadón Lane No.1 de 1.8 lb sin mango, Truper",17501206612078,27501206612075
"10615","AL-1M","Azadón Lane No.1 de 1.8 lb con mango de 54', Truper",17501206612016,27501206612013
"10606","AL-2","Azadón Lane No.2 de 2.0 lb sin mango, Truper",17501206612085,27501206612082
"10618","AL-2M","Azadón Lane No.2 de 2.0 lb con mango de 54', Truper",17501206612023,27501206612020
"10609","AL-3","Azadón Lane No.3 de 2.1 lb sin mango, Truper",17501206612092,27501206612099
"10621","AL-3M","Azadón Lane No.3 de 2.1 lb con mango de 54', Truper",17501206612030,27501206612037
"46319","AL-9V","Pila alcalina 9v, blister, Volteck",17501206657666,27501206657663
"46315","AL-AA","Blíster con 4 pilas alcalinas tamaño AA, Volteck",17501206657628,27501206657625
"46012","AL-AA-D","Pila alcalina AA, despachador con 16 piezas, Volteck",17506240646416,27506240646413
"46316","AL-AAA","Blíster con 4 pilas alcalinas tamaño AAA, Volteck",17501206657635,27501206657632
"46013","AL-AAA-D","Pila alcalina AAA, despachador con 16 piezas, Volteck",17506240646423,27506240646420
"46317","AL-C","Blíster con 2 pilas alcalinas tamaño C, Volteck",17501206657642,27501206657649
"46318","AL-D","Blíster con 2 pilas alcalinas tamaño D, Volteck",17501206657659,27501206657656
"44991","ALCA-100","Bolsa con 144 alcayatas roscadas de 22 X 100, Fiero",17506240626012,27506240626019
"44992","ALCA-110","Bolsa con 72 alcayatas roscadas de 23 X 110, Fiero",17506240626029,27506240626026
"44985","ALCA-20","Bolsa con 144 alcayatas roscadas de 16 X 20, Fiero",17506240625961,27506240625968
"44986","ALCA-50","Bolsa con 144 alcayatas roscadas de 18 X 50, Fiero",17506240625978,27506240625975
"44987","ALCA-60","Bolsa con 144 alcayatas roscadas de 19 X 60, Fiero",17506240625985,27506240625982
"44988","ALCA-70","Bolsa con 144 alcayatas roscadas de 20 X 70, Fiero",17506240626036,27506240626033
"44989","ALCA-80","Bolsa con 144 alcayatas roscadas de 21 X 80, Fiero",17506240625992,27506240625999
"44990","ALCA-90","Bolsa con 144 alcayatas roscadas de 22 X 90, Fiero",17506240626005,27506240626002
"15530","ALE-7M","Juego 7 llaves allen mm punta hexagonal con organizador",17501206648602,27501206648609
"15533","ALE-7P","Juego 7 llaves allen std punta hexagonal con organizador",17501206648619,27501206648616
"44465","ALG-125","Kilo de alambre galvanizado, calibre 12.5, Fiero",17506240601880,27506240601887
"44466","ALG-145","Kilo de alambre galvanizado, calibre 14.5, Fiero",17506240601897,27506240601894
"45121","ALG-145B","Rollo de 30 g de alambre galvanizado calibre 14.5, en bolsa",17506240648892,27506240648899
"44467","ALG-160","Kilo de alambre galvanizado, calibre 16, Fiero",17506240601903,27506240601900
"45117","ALG-160B","Rollo de 30 g de alambre galvanizado calibre 16, en bolsa",17506240648885,27506240648882
"44468","ALG-180","Kilo de alambre galvanizado, calibre 18, Fiero",17506240601910,27506240601917
"45116","ALG-180B","Rollo de 30 g de alambre galvanizado calibre 18, en bolsa",17506240648878,27506240648875
"44469","ALG-200","Kilo de alambre galvanizado, calibre 20, Fiero",17506240601927,27506240601924
