key,code,ean,DUN-14 Inner,DUN-14 Master,unit,description,brand,buy,retailsale,wholesale,inventory,min_inventory,department
ABP-10H,47934,7506240697640,17506240697647,27506240697644,Pieza,"Dosificador de ABS para jabón líquido, humo, Foset",Foset,345,495,415,10,1,Accesorios para baños públicos
ABP-10X,47931,7506240697619,17506240697616,27506240697613,Pieza,"Dosificador de acero inox. para jabón líquido, Foset",Foset,525,765,629,10,1,Accesorios para baños públicos
ABP-20H,47935,7506240697657,17506240697654,27506240697651,Pieza,"Portarollo de ABS, humo, Foset",Foset,575,835,695,10,1,Accesorios para baños públicos
ABP-20X,47932,7506240697626,17506240697623,27506240697620,Pieza,"Portarollo de acero inox, Foset",Foset,875,1265,1045,10,1,Accesorios para baños públicos
ABP-30H,47936,7506240697664,17506240697661,27506240697668,Pieza,"Dispensador de ABS para toallas de papel, humo, Foset",Foset,455,655,545,10,1,Accesorios para baños públicos
ABP-30X,47933,7506240697633,17506240697630,27506240697637,Pieza,"Dispensador de acero inox. para toallas de papel, Foset",Foset,1050,1525,1250,10,1,Accesorios para baños públicos
ABT-222,11545,7501206674178,17501206674175,27501206674172,Pieza,"Disco Tipo 27 de 7' x 6.4 mm desbaste de metal, Expert",Expert,69,109,89,10,1,Discos abrasivos
ABT-223,11547,7501206674161,17501206674168,27501206674165,Pieza,"Disco Tipo 27 de 9' x 6.4 mm desbaste de metal, Expert",Expert,99,155,129,10,1,Discos abrasivos
ABT-335,101454,7506240684664,17506240684661,27506240684668,Pieza,"Disco para corte de metal 4-1/2' tipo 41, Truper Expert",Expert,19,29,25,10,1,Discos abrasivos
ABT-372,10668,7506240621409,17506240621406,27506240621403,Pieza,Disco Tipo 27 de 4-1/2' x 6.5 mm desbaste acero inoxidable,Truper,45,69,58,10,1,Discos abrasivos
ABT-386,11548,7501206674185,17501206674182,27501206674189,Pieza,"Disco Tipo 27 de 4-1/2' x 6.4 mm desbaste de metal, Expert",Expert,35,55,45,10,1,Discos abrasivos
ABT-389,10669,7506240621416,17506240621413,27506240621410,Pieza,Disco Tipo 27 de 7' x 7.2 mm desbaste de acero inoxidable,Truper,85,135,109,10,1,Discos abrasivos
ABT-390,11549,7501206674116,17501206674113,27501206674110,Pieza,"Disco Tipo 42 de 4-1/2' x 3.2 mm corte metal, Truper Expert",Expert,15,24,19,10,1,Discos abrasivos
